ID,comid,main,hydroseq,outlet_comid,gages
4403,1700692,6052,150027395,1700692,
4147,1700678,5699,150027396,1700678,
4404,1700654,6053,150027397,1700654,
4400,1700576,6048,150027398,1700576,
3669,1700348,4981,150027402,1700452,
3885,1700210,5264,150027403,1700646,
3982,1700104,5458,150027405,1700556,
3942,1699844,5365,150027410,1699844,
3977,1699762,5455,150027412,1699780,
3031,1698876,4158,150027416,1698876,
4371,1698848,6019,150027417,1698848,
3989,1698780,5461,150027419,1698780,
3728,1698732,5066,150027423,1698732,
3620,1698668,4913,150027425,1702340,
4050,1698570,5562,150027426,1698572,
4237,1698516,5845,150027428,1698798,
3977,166195824,5455,150027742,1699780,
4275,1743108,5894,150030911,1737164,
4244,1737282,5854,150030931,1735570,
4079,1736902,5605,150030935,1743084,
4418,1736878,6073,150030936,1736878,
3650,1736838,4957,150030937,1736838,
3995,1736740,5479,150030939,1736724,
3517,1736658,4764,150030940,1736952,
4084,1736656,5609,150030941,1736990,
3532,1736592,4778,150030943,1736592,
4280,1736576,5896,150030944,1735722,
4469,1736200,6132,150030950,1736200,
4070,1735996,5587,150030954,1735996,
4003,1735898,5497,150030958,1735898,
4265,1735850,5882,150030959,1736870,
5027,1735834,6930,150030960,1736858,
4242,1735804,5850,150030961,1736832,
4419,1735798,6077,150030962,1735798,
3572,1735656,4805,150030963,1736726,
4415,1734274,6068,150030973,1734274,
4448,1734086,6107,150030976,1734086,
4444,1733902,6106,150030983,1733902,
4412,1733862,6066,150030986,1733862,
4156,1733852,5714,150030987,1732134,
4437,1733780,6094,150030988,1733780,
4438,1733734,6095,150030992,1733734,
4256,1733686,5867,150030995,1733684,
4422,1732654,6080,150031019,1732654,
4253,1732370,5864,150031026,1734044,
3799,1732132,5169,150031029,1733800,
3919,1732060,5312,150031030,1732060,
4164,1731406,5720,150031034,1731404,
4441,1731392,6099,150031035,1731392,
3656,1731376,4961,150031037,1731098,
4158,1731096,5718,150031039,1731096,
4570,1713452,6268,150031153,1713452,
4357,1713196,6000,150031157,1713458,
4606,1705890,6317,150031203,1705890,
3944,1703336,5372,150031210,1703584,
3734,1702842,5070,150031215,1702304,
4633,1702754,6349,150031217,1702754,
4400,1702740,6048,150031218,1700576,
4619,1702732,6332,150031219,1702732,
